Facility,KW_Rating,KWH_Generated,Date,Generated,Location,ObjectId,Number_of_Panels,Is_Over_Parking
City Hall Garage,200,400000,2014/07/01 00:00:00+00,22325,"500 S Main St
Las Vegas, NV 89101
(36.1670701, -115.1500373)",1321,774,FALSE
City Hall Garage,200,400000,2014/08/01 00:00:00+00,22325,"500 S Main St
Las Vegas, NV 89101
(36.1670701, -115.1500373)",487,774,FALSE
City Hall Garage,200,400000,2014/09/01 00:00:00+00,34100,"500 S Main St
Las Vegas, NV 89101
(36.1670701, -115.1500373)",1014,774,FALSE
City Hall Garage,200,400000,2014/10/01 00:00:00+00,24650,"500 S Main St
Las Vegas, NV 89101
(36.1670701, -115.1500373)",756,774,FALSE
City Hall Garage,200,400000,2014/11/01 00:00:00+00,19650,"500 S Main St
Las Vegas, NV 89101
(36.1670701, -115.1500373)",1040,774,FALSE
City Hall Garage,200,400000,2014/12/01 00:00:00+00,13050,"500 S Main St
Las Vegas, NV 89101
(36.1670701, -115.1500373)",1293,774,FALSE
City Hall Garage,200,400000,2015/02/01 00:00:00+00,19250,"500 S Main St
Las Vegas, NV 89101
(36.1670701, -115.1500373)",608,774,FALSE
City Hall Garage,200,400000,2015/03/01 00:00:00+00,26000,"500 S Main St
Las Vegas, NV 89101
(36.1670701, -115.1500373)",755,774,FALSE
City Hall Garage,200,400000,2015/04/01 00:00:00+00,33350,"500 S Main St
Las Vegas, NV 89101
(36.1670701, -115.1500373)",1353,774,FALSE
City Hall Garage,200,400000,2015/05/01 00:00:00+00,47500,"500 S Main St
Las Vegas, NV 89101
(36.1670701, -115.1500373)",1380,774,FALSE
City Hall Garage,200,400000,2015/06/01 00:00:00+00,40800,"500 S Main St
Las Vegas, NV 89101
(36.1670701, -115.1500373)",454,774,FALSE
City Hall Garage,200,400000,2015/07/01 00:00:00+00,45350,"500 S Main St
Las Vegas, NV 89101
(36.1670701, -115.1500373)",675,774,FALSE
City Hall Garage,200,400000,2015/08/01 00:00:00+00,35350,"500 S Main St
Las Vegas, NV 89101
(36.1670701, -115.1500373)",1428,774,FALSE
City Hall Garage,200,400000,2015/09/01 00:00:00+00,22550,"500 S Main St
Las Vegas, NV 89101
(36.1670701, -115.1500373)",1278,774,FALSE
City Hall Garage,200,400000,2015/10/01 00:00:00+00,21550,"500 S Main St
Las Vegas, NV 89101
(36.1670701, -115.1500373)",649,774,FALSE
City Hall Garage,200,400000,2015/11/01 00:00:00+00,16650,"500 S Main St
Las Vegas, NV 89101
(36.1670701, -115.1500373)",782,774,FALSE
City Hall Garage,200,400000,2015/12/01 00:00:00+00,16550,"500 S Main St
Las Vegas, NV 89101
(36.1670701, -115.1500373)",356,774,FALSE
City Hall Garage,200,400000,2016/01/01 00:00:00+00,23050,"500 S Main St
Las Vegas, NV 89101
(36.1670701, -115.1500373)",1157,774,FALSE
City Hall Garage,200,400000,2016/02/01 00:00:00+00,28700,"500 S Main St
Las Vegas, NV 89101
(36.1670701, -115.1500373)",1468,774,FALSE
City Hall Garage,200,400000,2016/09/01 00:00:00+00,33000,"500 S Main St
Las Vegas, NV 89101
(36.1670701, -115.1500373)",704,774,FALSE
City Hall Garage,200,400000,2016/10/01 00:00:00+00,18575,"500 S Main St
Las Vegas, NV 89101
(36.1670701, -115.1500373)",622,774,FALSE
City Hall Garage,200,400000,2017/01/01 00:00:00+00,13800,"500 S Main St
Las Vegas, NV 89101
(36.1670701, -115.1500373)",218,774,FALSE
City Hall Garage,200,400000,2017/02/01 00:00:00+00,19500,"500 S Main St
Las Vegas, NV 89101
(36.1670701, -115.1500373)",518,774,FALSE
City Hall Garage,200,400000,2017/03/01 00:00:00+00,26000,"500 S Main St
Las Vegas, NV 89101
(36.1670701, -115.1500373)",323,774,FALSE
